unit,control_area,station
R248,H007,1 AVE
R248,H008,1 AVE
R314,N037,103 ST
R191,R170,103 ST
R180,R252,103 ST
R208,R529,103 ST-CORONA
R007,J034,104 STREET
R181,R253,110 ST
R181,R254,110 ST
R323,R301,110 ST
R334,N034,110 ST-CATHEDRL
R334,N035,110 ST-CATHEDRL
R192,R171,110 ST-CATHEDRL
R192,R172,110 ST-CATHEDRL
R008,J035,111 ST
R310,R530,111 ST
R333,N029,116 ST
R333,N030,116 ST
R182,R256,116 ST
R182,R257,116 ST
R324,R302,116 ST
R324,R303,116 ST
R159,R173,116 ST-COLUMBIA
R009,J037,121 ST
R102,N025,125 ST
R102,N026,125 ST
R034,R174,125 ST
R132,R258,125 ST
R206,R304,125 ST
R206,R305,125 ST
R207,R306,135 ST
R207,R307,135 ST
R332,N022,135TH STREET
R332,N023,135TH STREET
R332,N024,135TH STREET
R169,R175,137 ST-CITY COL
R169,R176,137 ST-CITY COL
R307,R259,138 ST
R445,R401,138 ST-3 AV
R175,N078,14 ST
R163,N510,14 ST
R163,N511,14 ST
R163,N512,14 ST
R163,N513,14 ST
R105,R127,14 ST
R105,R128,14 ST
R170,A033,14 ST-UNION SQ
R170,A034,14 ST-UNION SQ
R170,A035,14 ST-UNION SQ
R170,A037,14 ST-UNION SQ
R170,R221,14 ST-UNION SQ
R101,N019,145 ST
R101,N020,145 ST
R273,R177,145 ST
R273,R178,145 ST
R344,R308,145 ST
R345,R309,148 ST-LENOX
R053,R310,149 ST - 3 AVE
R053,R311,149 ST - 3 AVE
R205,R261,149 ST-GR CONC
R205,R260,149 ST-GR CONC*
R545,PTH11,14TH STREET
R241,N541,15 ST-PROSPECT
R241,N542,15 ST-PROSPECT
R331,N017,155 ST
R315,N202,155 ST
R193,R179,157 ST
R193,R180,157 ST
R195,N203,161 ST-YANKEE
R195,N205,161 ST-YANKEE
R195,R262,161 ST-YANKEE
R195,R262A,161 ST-YANKEE
R195,R262B,161 ST-YANKEE
R296,N016A,163 ST-AMSTERDM
R104,N206,167 ST
R104,N207,167 ST
R221,R283,167 ST
R035,N012,168 ST-BROADWAY
R035,N013,168 ST-BROADWAY
R035,R182,168 ST-BROADWAY
R115,N340,169 ST
R115,N340A,169 ST
R443,N208,170 ST
R443,N209,170 ST
R243,R284,170 ST
R386,R321,174 ST
R386,R322,174 ST
R253,N210,174-175 ST
R253,N212,174-175 ST
R126,N010,175 ST
R126,N011,175 ST
R309,R286,176 ST
R019,N342,179 STREET
R019,N343,179 STREET
R392,D008,18 AV
R372,E012,18 AV
R242,N549,18 AV
R242,N550,18 AV
R321,R129,18 ST
R321,R130,18 ST
R174,N007A,181 ST
R174,N009,181 ST
R260,R183,181 ST
R237,N215,182-183 ST
R275,R288,183 ST
R280,N006A,190 ST
R274,R185,191 ST
R300,N521,2 AV
R300,N523,2 AV
R393,D009,20 AV
R373,E013,20 AV
R157,N224,205 ST
R157,N225,205 ST
R173,N001,207 ST/WASH HTS
R173,N002A,207 ST/WASH HTS
R037,R188,207 STREET
R303,N603,21 ST
R038,R190,215 STREET
R365,R332,219 ST
R422,N553,22 AV-BAY PKY
R366,R333,225 ST
R039,R192,225 STREET
R111,N075,23 ST
R111,N076,23 ST
R111,N077,23 ST
R203,N509,23 ST
R190,R131,23 ST
R190,R132,23 ST
R131,R226,23 ST
R131,R226A,23 ST
R131,R227,23 ST
R131,R227A,23 ST
R083,A030,23 ST-5 AVE
R083,A031,23 ST-5 AVE
R359,N307,23 ST-ELY AV
R040,R194,231 STREET
R367,R334,233 ST
R306,R196,238 ST
R444,R335,238 ST
R453,N508,23RD STREET
R145,R336,241 ST
R117,R197,242 ST
R399,E015,25 AV
R278,C016,25 ST
R455,C017,25 ST
R272,R133,28 ST
R272,R134,28 ST
R143,R228,28 ST
R143,R229,28 ST
R143,R230,28 ST
R082,A027,28 ST-BROADWAY
R082,A029,28 ST-BROADWAY
R330,H005,3 AV
R330,H006,3 AV
R176,R231,33 ST
R176,R231A,33 ST
R176,R232,33 ST
R176,R232A,33 ST
R291,R516,33 ST/RAWSON ST
R291,R517,33 ST/RAWSON ST
R012,N067,34 ST-PENN STA
R012,N068,34 ST-PENN STA
R013,N069,34 ST-PENN STA
R012,N070,34 ST-PENN STA
R013,N071,34 ST-PENN STA
R012,N072,34 ST-PENN STA
R013,N073,34 ST-PENN STA
R031,R135,34 ST-PENN STA
R031,R137,34 ST-PENN STA
R293,R138,34 ST-PENN STA
R031,R139,34 ST-PENN STA
R031,R141,34 ST-PENN STA
R293,R142,34 ST-PENN STA
R022,A022,34 STREET
R023,A025,34 STREET
R022,N505,34 STREET
R022,N506,34 STREET
R023,N507,34 STREET
R197,C018,36 ST
R339,N311,36 ST
R339,N312,36 ST
R258,N537,4 AV
R261,R518,40 ST-LOWERY ST
R010,N060,42 ST
R010,N062A,42 ST
R032,A021,42 ST - TIMES S
R032,R145,42 ST -TIMES SQ
R033,R147,42 ST -TIMES SQ
R033,R148,42 ST -TIMES SQ
R033,R151,42 ST -TIMES SQ
R045,R236,42 ST-GRD CNTRL
R046,R237,42 ST-GRD CNTRL
R047,R237B,42 ST-GRD CNTRL
R046,R238,42 ST-GRD CNTRL
R047,R240,42 ST-GRD CNTRL
R048,R241A,42 ST-GRD CNTRL
R011,N062,42 STREET
R011,N063,42 STREET
R011,N063A,42 STREET
R021,N502,42 STREET
R021,N503,42 STREET
R021,N504,42 STREET
R032,R143,42 ST-TIMES SQ
R346,R508,45 RD-COURT H S
R232,C019,45 ST
R267,N316,46 ST
R267,N316A,46 ST
R267,N317,46 ST
R223,R519,46 ST-BLISS ST
R223,R520,46 ST-BLISS ST
R020,N500,47-50 ST-ROCK
R020,N501,47-50 ST-ROCK
R020,N501A,47-50 ST-ROCK
R081,A013,49 ST-7 AV
R081,A014,49 ST-7 AV
R081,A015,49 ST-7 AV
R081,A016,49 ST-7 AV
R079,A006,5 AV
R079,A007,5 AV
R234,E004,50 ST
R188,N056,50 ST
R188,N057,50 ST
R116,R154,50 ST
R116,R155,50 ST
R049,R242,51 STREET
R049,R242A,51 STREET
R049,R243,51 STREET
R327,R521,52 ST-LINCOLN
R233,C020,53 ST
R247,E005,55 ST
R302,N600,57 ST
R080,A010,57 ST-7 AV
R080,A011,57 ST-7 AV
R212,C021,59 ST
R212,C022,59 ST
R084,N049,59 ST-COLUMBUS
R084,N051,59 ST-COLUMBUS
R084,R158,59 ST-COLUMBUS
R050,R244,59 STREET
R050,R244A,59 STREET
R051,R245,59 STREET
R051,R245A,59 STREET
R163,H003,6 AV
R147,R523,61 ST/WOODSIDE
R202,N330B,63 DR-REGO PARK
R202,N330C,63 DR-REGO PARK
R340,N322,65 ST
R164,R159,66 ST/LINCOLN
R164,R160,66 ST/LINCOLN
R164,R160A,66 ST/LINCOLN
R219,N331,67 AV
R219,N332,67 AV
R177,R246,68ST-HUNTER COL
R347,R524,69 ST-FISK AV
R171,B004,7 AV
R113,N300,7 AV
R113,N301,7 AV
R288,N539A,7 AV-PARK SLOPE
R370,E009,71 ST
R141,N333,71 ST-CONTINENT
